Iteration	Posterior	Likelihood	Prior	ephemerality[1]	ephemerality[2]	ephemerality[3]	ephemerality[4]	ephemerality_observed[1]	ephemerality_observed[2]	evolvability[1]	evolvability[2]	evolvability[3]	evolvability[4]	evolvability_observed[1]	evolvability_observed[2]	global_ephemerality	global_evolvability	global_net_pop_formation	global_pop_turnover	global_speciation_success	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_turnover[1]	pop_turnover[2]	pop_turnover[3]	pop_turnover[4]	pop_turnover_observed[1]	pop_turnover_observed[2]	speciation_success[1]	speciation_success[2]	speciation_success[3]	speciation_success[4]	speciation_success_observed[1]	speciation_success_observed[2]
48	-613.3728	-523.8311	-89.54165	1.46496	0.905746	7.6735	7.29867	4.87981	4.43898	1.57884	0.929274	5.72602	4.93745	6.83363	5.76534	4.665765	12.59897	10.35002	0.7692552	0.1648723	0.688527	0.408806	4.83571	4.41698	5.52423	4.82578	0.90768	0.945186	0.676959	0.704932	0.753684	0.784827	0.619594	1.04354	0.0882204	0.0965836	0.15445	0.176803
49	-629.6965	-530.7191	-98.97745	1.1915	1.1915	7.49295	7.49295	4.66576	4.66576	1.43925	1.0694	5.51692	5.14708	6.48441	6.11456	4.665765	12.59897	10.35002	0.7692552	0.1648723	0.548667	0.548667	4.62634	4.62634	5.17501	5.17501	0.926433	0.926433	0.690945	0.690945	0.769255	0.769255	0.777535	0.777535	0.0922127	0.0922127	0.164872	0.164872
50	-607.4332	-525.1506	-82.2826	1.13295	1.06658	7.44243	7.00646	5.09727	4.79868	1.16905	0.881168	5.89218	5.61092	6.67883	6.42001	4.943471	13.09884	10.96605	0.7692552	0.1556103	0.43321	0.43321	5.04981	5.04981	5.48302	5.48302	0.942723	0.942723	0.688262	0.688262	0.769255	0.769255	0.832099	0.883875	0.0924781	0.0982325	0.150915	0.160306
51	-611.2007	-527.6123	-83.58831	1.12377	1.12377	8.05693	8.05693	4.94347	4.94347	1.39726	1.01898	5.85236	5.47408	6.78526	6.40698	4.943471	13.19223	10.96605	0.7692552	0.1556103	0.513965	0.513965	4.96906	4.96906	5.48302	5.48302	0.932764	0.932764	0.69171	0.69171	0.769255	0.769255	0.830032	0.830032	0.0858528	0.0858528	0.15561	0.15561
52	-608.5479	-524.1378	-84.41012	0.78968	1.58319	6.71539	9.91957	4.05974	6.16864	1.3366	1.04257	5.68215	5.60721	6.58642	6.56874	4.943471	13.15516	10.96605	0.7692552	0.1556103	0.415148	0.612782	4.7607	5.17742	5.17585	5.7902	0.94498	0.92086	0.700769	0.682882	0.77933	0.759438	1.19666	0.581648	0.104353	0.0688419	0.191965	0.123113
53	-612.0578	-528.065	-83.99284	0.965008	1.34505	6.91869	9.64343	4.24508	5.9169	1.28623	0.921488	5.74133	5.37658	6.74294	6.23783	4.943471	12.98077	10.96605	0.7692552	0.1556103	0.513965	0.513965	4.96906	4.96906	5.48302	5.48302	0.932764	0.932764	0.69171	0.69171	0.769255	0.769255	0.966586	0.693478	0.099977	0.0717286	0.181211	0.13001
54	-617.108	-532.1011	-85.00699	1.12377	1.12377	8.05693	8.05693	4.94347	4.94347	1.22472	0.993588	5.67982	5.44868	6.6106	6.37946	4.943471	12.99006	10.96605	0.7692552	0.1556103	0.513965	0.513965	4.96906	4.96906	5.48302	5.48302	0.932764	0.932764	0.69171	0.69171	0.769255	0.769255	0.830032	0.830032	0.0858528	0.0858528	0.15561	0.15561
55	-607.4062	-530.6802	-76.72604	0.759199	1.53924	7.84401	8.74851	4.67474	5.49935	0.871391	0.933529	4.23307	4.62031	4.81051	5.49103	5.097044	10.30154	8.674758	0.7692552	0.1509218	0.259939	0.553211	3.62161	4.23999	3.88155	4.7932	0.955945	0.91068	0.7089	0.675333	0.788373	0.751043	1.25915	0.591642	0.0903748	0.0771941	0.168645	0.136569
56	-614.0855	-532.6518	-81.43371	1.5016	3.13605	4.8907	9.05315	3.24414	6.1685	1.50147	1.38559	3.62275	3.81536	4.84354	5.14379	4.370454	9.987335	8.231397	0.7692552	0.1760127	0.780943	1.05923	2.90223	3.489	3.68317	4.54823	0.860515	0.819769	0.754159	0.718449	0.788373	0.751043	0.573066	0.261402	0.154203	0.079359	0.243014	0.121754
57	-618.9209	-528.8665	-90.05441	0.683058	1.53761	8.51949	9.48497	5.0409	5.9301	1.01275	1.17079	5.75822	6.36328	6.46299	7.47131	5.49628	13.9343	11.92795	0.7692552	0.1399592	0.295869	0.699122	5.04134	5.89162	5.3372	6.59074	0.963532	0.917908	0.705302	0.671906	0.788373	0.751043	1.41061	0.596972	0.0827869	0.070839	0.156395	0.126649
58	-624.5543	-531.1701	-93.38415	1.07711	1.07711	8.66336	8.66336	5.28252	5.28252	1.19469	0.949467	5.97041	5.72519	6.85781	6.61259	5.282517	13.4704	11.46404	0.7692552	0.1456228	0.478147	0.478147	5.25387	5.25387	5.73202	5.73202	0.940167	0.940167	0.688199	0.688199	0.769255	0.769255	0.872863	0.872863	0.0794379	0.0794379	0.145623	0.145623
59	-608.0038	-528.1632	-79.84057	0.732024	0.732024	11.6105	11.6105	6.87041	6.87041	0.913143	0.625314	6.16019	5.87236	6.71547	6.42764	6.870409	13.1431	11.46404	0.7692552	0.1119664	0.242486	0.242486	5.48953	5.48953	5.73202	5.73202	0.968734	0.968734	0.678707	0.678707	0.769255	0.769255	1.32336	1.32336	0.0584561	0.0584561	0.111966	0.111966
